2014;6;2904
2014;5;205437
2014;4;196955
2014;3;140240
2014;2;165124
2014;1;167053
2013;12;112441
2013;11;197948
2013;10;186291
2013;9;130451
2013;8;214788
2013;7;230066
2013;6;148173
2013;5;107679
2013;4;156657
2013;3;107611
2013;2;10692
2013;1;213478
2012;12;82558
2012;11;116351
2012;10;159067
2012;9;101579
2012;8;147519
2012;7;190118
2012;6;128217
2012;5;69152
2012;4;91410
2012;3;45332
2012;2;59718
2012;1;77278
2011;12;37428
2011;11;71028
2011;10;91367
2011;9;41226
2011;8;46294
2011;7;61049
2011;6;27650
