331;Fork End;1374;0,58;0
532;Seat Stays;1154;0,25;0
3;BB Ball Bearing;1031;0,11;0
316;Blade;736;0,31;0
350;Fork Crown;692;0,59;0
324;Chain Stays;585;0,25;0
327;Down Tube;571;0,49;0
529;Stem;422;0,45;0
399;Head Tube;348;0,3;0
533;Seat Tube;342;0,29;0
531;Steerer;264;0,22;0
534;Top Tube;247;0,21;0
950;ML Crankset;225;0,38;0
401;HL Hub;178;0,14;0
328;Mountain End Caps;143;0,23;0
802;LL Fork;140;0,38;0
330;Touring End Caps;123;0,41;0
994;LL Bottom Bracket;107;0,35;0
894;Rear Derailleur;105;0,15;0
829;Touring Rear Wheel;87;0,59;0
398;Handlebar Tube;84;0,09;0
816;ML Mountain Front Wheel;67;0,48;0
996;HL Bottom Bracket;64;0,32;0
811;LL Road Handlebars;62;0,3;0
517;LL Road Seat Assembly;62;0,28;0
945;Front Derailleur;61;0,1;0
806;ML Headset;59;0,11;0
827;ML Road Rear Wheel;58;0,44;0
821;Touring Front Wheel;47;0,32;0
329;Road End Caps;43;0,04;0
807;HL Headset;41;0,29;0
826;LL Road Rear Wheel;39;0,22;0
805;LL Headset;35;0,25;0
400;LL Hub;32;0,06;0
818;LL Road Front Wheel;25;0,11;0
522;HL Touring Seat Assembly;25;0,39;0
812;ML Road Handlebars;23;0,17;0
820;HL Road Front Wheel;22;0,21;0
803;ML Fork;21;0,08;0
828;HL Road Rear Wheel;21;0,19;0
819;ML Road Front Wheel;19;0,15;0
813;HL Road Handlebars;18;0,18;0
514;LL Mountain Seat Assembly;17;0,29;0
995;ML Bottom Bracket;14;0,05;0
518;ML Road Seat Assembly;14;0,1;0
817;HL Mountain Front Wheel;14;0,27;0
760;Road-650 Red, 60;13;0,58;0
810;HL Mountain Handlebars;13;0,08;0
770;Road-650 Black, 52;12;0,53;0
804;HL Fork;12;0,03;0
951;HL Crankset;12;0,1;0
516;HL Mountain Seat Assembly;11;0,06;0
946;LL Touring Handlebars;9;0,18;0
893;HL Touring Frame - Blue, 60;9;0,71;0
520;LL Touring Seat Assembly;9;0,16;0
737;LL Road Frame - Black, 48;8;0,36;0
815;LL Mountain Front Wheel;8;0,12;0
823;LL Mountain Rear Wheel;8;0,13;0
761;Road-650 Red, 62;7;0,37;0
730;LL Road Frame - Red, 62;7;0,59;0
808;LL Mountain Handlebars;7;0,14;0
738;LL Road Frame - Black, 52;7;0,21;0
729;LL Road Frame - Red, 60;6;0,3;0
999;Road-750 Black, 52;6;0,45;0
780;Mountain-200 Silver, 42;5;0,22;0
746;HL Mountain Frame - Black, 46;5;0,24;0
765;Road-650 Black, 58;5;0,27;0
515;ML Mountain Seat Assembly;5;0,17;0
783;Mountain-200 Black, 42;5;0,19;0
779;Mountain-200 Silver, 38;5;0,21;0
722;LL Road Frame - Black, 58;5;0,21;0
793;Road-250 Black, 44;4;0,24;0
781;Mountain-200 Silver, 46;4;0,18;0
822;ML Road Frame-W - Yellow, 38;4;0,27;0
886;LL Touring Frame - Yellow, 62;4;0,78;0
969;Touring-1000 Blue, 60;4;0,36;0
789;Road-250 Red, 44;4;0,45;0
998;Road-750 Black, 48;4;0,26;0
762;Road-650 Red, 44;4;0,18;0
776;Mountain-100 Black, 42;4;0,63;0
747;HL Mountain Frame - Black, 38;4;0,14;0
771;Mountain-100 Silver, 38;3;0,47;0
742;HL Mountain Frame - Silver, 46;3;0,15;0
766;Road-650 Black, 60;3;0,27;0
834;ML Road Frame-W - Yellow, 42;3;0,14;0
763;Road-650 Red, 48;3;0,16;0
891;HL Touring Frame - Blue, 50;3;0,34;0
798;Road-550-W Yellow, 40;3;0,2;0
784;Mountain-200 Black, 46;3;0,14;0
957;Touring-1000 Yellow, 60;3;0,27;0
786;Mountain-300 Black, 40;2;0,26;0
772;Mountain-100 Silver, 42;2;0,34;0
767;Road-650 Black, 62;2;0,31;0
748;HL Mountain Frame - Silver, 38;2;0,09;0
917;LL Mountain Frame - Silver, 42;2;0,38;0
974;Road-350-W Yellow, 42;2;0,21;0
727;LL Road Frame - Red, 52;2;0,24;0
782;Mountain-200 Black, 38;2;0,07;0
979;Touring-3000 Blue, 50;2;0,24;0
756;Road-450 Red, 44;2;0,58;0
739;HL Mountain Frame - Silver, 42;2;0,11;0
896;LL Touring Frame - Blue, 54;2;0,51;0
680;HL Road Frame - Black, 58;2;0,22;0
777;Mountain-100 Black, 44;2;0,29;0
775;Mountain-100 Black, 38;2;0,29;0
832;ML Mountain Frame - Black, 48;2;0,22;0
972;Touring-2000 Blue, 54;2;0,2;0
801;Road-550-W Yellow, 48;2;0,11;0
723;LL Road Frame - Black, 60;2;0,2;0
797;Road-550-W Yellow, 38;2;0,11;0
890;HL Touring Frame - Blue, 46;2;0,26;0
954;Touring-1000 Yellow, 46;2;0,2;0
830;ML Mountain Frame - Black, 40;2;0,28;0
887;HL Touring Frame - Yellow, 46;2;0,23;0
759;Road-650 Red, 58;1;0,16;0
790;Road-250 Red, 48;1;0,12;0
773;Mountain-100 Silver, 44;1;0,17;0
799;Road-550-W Yellow, 42;1;0,08;0
