2011-06-03;Debur and Polish;14
2011-06-03;Final Assembly;934
2011-06-03;Frame Forming;1508
2011-06-03;Frame Welding;474
2011-06-03;Paint;4
2011-06-03;Specialized Paint;10
2011-06-03;Subassembly;4728
2011-06-04;Debur and Polish;1
2011-06-04;Final Assembly;9
2011-06-04;Frame Forming;13
2011-06-04;Frame Welding;5
2011-06-04;Specialized Paint;1
2011-06-04;Subassembly;41
2011-06-05;Final Assembly;10
2011-06-05;Frame Forming;15
2011-06-05;Frame Welding;5
2011-06-05;Subassembly;50
2011-06-06;Final Assembly;4
2011-06-06;Frame Forming;6
2011-06-06;Frame Welding;2
2011-06-06;Subassembly;20
2011-06-07;Final Assembly;10
2011-06-07;Frame Forming;15
2011-06-07;Frame Welding;5
2011-06-07;Subassembly;50
2011-06-08;Final Assembly;8
2011-06-08;Frame Forming;12
2011-06-08;Frame Welding;4
2011-06-08;Subassembly;40
2011-06-09;Final Assembly;6
2011-06-09;Frame Forming;9
2011-06-09;Frame Welding;3
2011-06-09;Subassembly;30
2011-06-10;Final Assembly;6
2011-06-10;Frame Forming;9
2011-06-10;Frame Welding;3
2011-06-10;Subassembly;30
2011-06-11;Final Assembly;12
2011-06-11;Frame Forming;18
2011-06-11;Frame Welding;6
2011-06-11;Subassembly;60
2011-06-12;Final Assembly;6
2011-06-12;Frame Forming;9
2011-06-12;Frame Welding;3
2011-06-12;Subassembly;30
2011-06-13;Final Assembly;8
2011-06-13;Frame Forming;12
2011-06-13;Frame Welding;4
2011-06-13;Subassembly;40
2011-06-14;Final Assembly;8
2011-06-14;Frame Forming;12
2011-06-14;Frame Welding;4
2011-06-14;Subassembly;40
2011-06-15;Final Assembly;4
2011-06-15;Frame Forming;6
2011-06-15;Frame Welding;2
2011-06-15;Subassembly;20
2011-06-16;Final Assembly;14
2011-06-16;Frame Forming;21
2011-06-16;Frame Welding;7
2011-06-16;Subassembly;70
2011-06-17;Final Assembly;8
2011-06-17;Frame Forming;12
2011-06-17;Frame Welding;4
2011-06-17;Subassembly;40
2011-06-18;Final Assembly;8
2011-06-18;Frame Forming;12
2011-06-18;Frame Welding;4
2011-06-18;Subassembly;40
2011-06-19;Final Assembly;8
2011-06-19;Frame Forming;12
2011-06-19;Frame Welding;4
2011-06-19;Subassembly;40
2011-06-20;Final Assembly;4
2011-06-20;Frame Forming;6
2011-06-20;Frame Welding;2
2011-06-20;Subassembly;20
2011-06-21;Final Assembly;16
2011-06-21;Frame Forming;24
2011-06-21;Frame Welding;8
2011-06-21;Subassembly;80
2011-06-22;Final Assembly;8
2011-06-22;Frame Forming;12
2011-06-22;Frame Welding;4
2011-06-22;Subassembly;40
2011-06-23;Final Assembly;8
2011-06-23;Frame Forming;12
2011-06-23;Frame Welding;4
2011-06-23;Subassembly;40
2011-06-24;Debur and Polish;3
2011-06-24;Final Assembly;25
2011-06-24;Frame Forming;36
2011-06-24;Frame Welding;14
2011-06-24;Specialized Paint;3
2011-06-24;Subassembly;113
2011-06-25;Final Assembly;10
2011-06-25;Frame Forming;15
2011-06-25;Frame Welding;5
2011-06-25;Subassembly;50
2011-06-26;Final Assembly;6
2011-06-26;Frame Forming;9
2011-06-26;Frame Welding;3
2011-06-26;Subassembly;30
2011-06-27;Final Assembly;8
2011-06-27;Frame Forming;12
2011-06-27;Frame Welding;4
2011-06-27;Subassembly;40
2011-06-28;Final Assembly;10
2011-06-28;Frame Forming;15
2011-06-28;Frame Welding;5
2011-06-28;Subassembly;50
2011-06-29;Final Assembly;16
2011-06-29;Frame Forming;24
2011-06-29;Frame Welding;8
2011-06-29;Subassembly;80
2011-06-30;Debur and Polish;1
2011-06-30;Final Assembly;17
2011-06-30;Frame Forming;25
2011-06-30;Frame Welding;9
2011-06-30;Paint;1
2011-06-30;Subassembly;81
2011-07-01;Final Assembly;10
2011-07-01;Frame Forming;15
2011-07-01;Frame Welding;5
2011-07-01;Subassembly;50
2011-07-02;Debur and Polish;2
2011-07-02;Final Assembly;12
2011-07-02;Frame Forming;17
2011-07-02;Frame Welding;7
2011-07-02;Paint;2
2011-07-02;Subassembly;52
2011-07-03;Final Assembly;10
2011-07-03;Frame Forming;15
2011-07-03;Frame Welding;5
2011-07-03;Subassembly;50
2011-07-04;Debur and Polish;85
2011-07-04;Final Assembly;2349
2011-07-04;Frame Forming;3780
2011-07-04;Frame Welding;1217
2011-07-04;Paint;14
2011-07-04;Specialized Paint;71
2011-07-04;Subassembly;11704
2011-07-05;Final Assembly;6
2011-07-05;Frame Forming;9
2011-07-05;Frame Welding;3
2011-07-05;Subassembly;30
2011-07-06;Final Assembly;8
2011-07-06;Frame Forming;12
2011-07-06;Frame Welding;4
2011-07-06;Subassembly;40
2011-07-07;Final Assembly;10
2011-07-07;Frame Forming;15
2011-07-07;Frame Welding;5
2011-07-07;Subassembly;50
2011-07-08;Final Assembly;12
2011-07-08;Frame Forming;18
2011-07-08;Frame Welding;6
2011-07-08;Subassembly;60
2011-07-09;Debur and Polish;1
2011-07-09;Final Assembly;17
2011-07-09;Frame Forming;25
2011-07-09;Frame Welding;9
2011-07-09;Specialized Paint;1
2011-07-09;Subassembly;81
2011-07-10;Final Assembly;8
2011-07-10;Frame Forming;12
2011-07-10;Frame Welding;4
2011-07-10;Subassembly;40
2011-07-11;Debur and Polish;1
2011-07-11;Final Assembly;9
2011-07-11;Frame Forming;13
2011-07-11;Frame Welding;5
2011-07-11;Specialized Paint;1
2011-07-11;Subassembly;41
2011-07-12;Debur and Polish;1
2011-07-12;Final Assembly;9
2011-07-12;Frame Forming;13
2011-07-12;Frame Welding;5
2011-07-12;Paint;1
2011-07-12;Subassembly;41
2011-07-13;Final Assembly;12
2011-07-13;Frame Forming;18
2011-07-13;Frame Welding;6
2011-07-13;Subassembly;60
2011-07-14;Final Assembly;10
2011-07-14;Frame Forming;15
2011-07-14;Frame Welding;5
2011-07-14;Subassembly;50
2011-07-15;Final Assembly;12
2011-07-15;Frame Forming;18
2011-07-15;Frame Welding;6
2011-07-15;Subassembly;60
2011-07-16;Final Assembly;10
2011-07-16;Frame Forming;15
2011-07-16;Frame Welding;5
2011-07-16;Subassembly;50
2011-07-17;Final Assembly;8
2011-07-17;Frame Forming;12
2011-07-17;Frame Welding;4
2011-07-17;Subassembly;40
2011-07-18;Debur and Polish;2
2011-07-18;Final Assembly;14
2011-07-18;Frame Forming;20
2011-07-18;Frame Welding;8
2011-07-18;Specialized Paint;2
2011-07-18;Subassembly;62
2011-07-20;Final Assembly;2
2011-07-20;Frame Forming;3
2011-07-20;Frame Welding;1
2011-07-20;Subassembly;10
2011-07-21;Debur and Polish;1
2011-07-21;Final Assembly;13
2011-07-21;Frame Forming;19
2011-07-21;Frame Welding;7
2011-07-21;Paint;1
2011-07-21;Subassembly;61
2011-07-22;Final Assembly;16
2011-07-22;Frame Forming;24
2011-07-22;Frame Welding;8
2011-07-22;Subassembly;80
2011-07-23;Final Assembly;12
2011-07-23;Frame Forming;18
2011-07-23;Frame Welding;6
2011-07-23;Subassembly;60
2011-07-24;Debur and Polish;1
2011-07-24;Final Assembly;17
2011-07-24;Frame Forming;25
2011-07-24;Frame Welding;9
2011-07-24;Paint;1
2011-07-24;Subassembly;81
2011-07-25;Final Assembly;10
2011-07-25;Frame Forming;15
2011-07-25;Frame Welding;5
2011-07-25;Subassembly;50
2011-07-26;Final Assembly;6
2011-07-26;Frame Forming;9
2011-07-26;Frame Welding;3
2011-07-26;Subassembly;30
2011-07-27;Debur and Polish;2
2011-07-27;Final Assembly;20
2011-07-27;Frame Forming;29
2011-07-27;Frame Welding;11
2011-07-27;Specialized Paint;2
2011-07-27;Subassembly;92
2011-07-28;Final Assembly;6
2011-07-28;Frame Forming;9
2011-07-28;Frame Welding;3
2011-07-28;Subassembly;30
2011-07-29;Debur and Polish;2
2011-07-29;Final Assembly;16
2011-07-29;Frame Forming;23
2011-07-29;Frame Welding;9
2011-07-29;Specialized Paint;2
2011-07-29;Subassembly;72
2011-07-30;Final Assembly;4
2011-07-30;Frame Forming;6
2011-07-30;Frame Welding;2
2011-07-30;Subassembly;20
2011-07-31;Final Assembly;4
2011-07-31;Frame Forming;6
2011-07-31;Frame Welding;2
2011-07-31;Subassembly;20
2011-08-01;Final Assembly;16
2011-08-01;Frame Forming;24
2011-08-01;Frame Welding;8
2011-08-01;Subassembly;80
2011-08-02;Debur and Polish;2
2011-08-02;Final Assembly;16
2011-08-02;Frame Forming;23
2011-08-02;Frame Welding;9
2011-08-02;Specialized Paint;2
2011-08-02;Subassembly;72
2011-08-03;Final Assembly;12
2011-08-03;Frame Forming;18
2011-08-03;Frame Welding;6
2011-08-03;Subassembly;60
2011-08-04;Debur and Polish;69
