10;2011-06-03;230400;158400;145,45
10;2011-06-04;43200;79200;54,55
10;2011-06-05;129600;79200;163,64
10;2011-06-06;17280;47520;36,36
10;2011-06-07;144000;79200;181,82
10;2011-06-08;8640;47520;18,18
10;2011-06-09;158400;79200;200
10;2011-06-10;72000;79200;90,91
10;2011-06-11;138240;63360;218,18
10;2011-06-12;46080;63360;72,73
10;2011-06-13;112320;47520;236,36
10;2011-06-14;34560;63360;54,55
10;2011-06-15;120960;47520;254,55
10;2011-06-16;17280;47520;36,36
10;2011-06-17;259200;95040;272,73
10;2011-06-18;8640;47520;18,18
10;2011-06-19;184320;63360;290,91
10;2011-06-20;5760;63360;9,09
10;2011-06-21;95040;95040;100
10;2011-06-22;8640;95040;9,09
10;2011-06-23;47520;47520;100
10;2011-06-24;7200;79200;9,09
10;2011-06-25;79200;79200;100
10;2011-06-26;4320;47520;9,09
10;2011-06-27;79200;79200;100
10;2011-06-28;5760;63360;9,09
10;2011-06-29;63360;63360;100
10;2011-06-30;120960;110880;109,09
10;2011-07-01;57600;63360;90,91
10;2011-07-02;141120;110880;127,27
10;2011-07-03;57600;79200;72,73
10;2011-07-04;230400;158400;145,45
10;2011-07-05;25920;47520;54,55
10;2011-07-06;155520;95040;163,64
10;2011-07-07;23040;63360;36,36
10;2011-07-08;144000;79200;181,82
10;2011-07-09;20160;110880;18,18
10;2011-07-10;95040;47520;200
10;2011-07-11;100800;110880;90,91
10;2011-07-12;172800;79200;218,18
10;2011-07-13;46080;63360;72,73
10;2011-07-14;112320;47520;236,36
10;2011-07-15;25920;47520;54,55
10;2011-07-16;241920;95040;254,55
10;2011-07-17;17280;47520;36,36
10;2011-07-18;216000;79200;272,73
10;2011-07-20;138240;47520;290,91
10;2011-07-21;7200;79200;9,09
10;2011-07-22;79200;79200;100
10;2011-07-23;5760;63360;9,09
10;2011-07-24;79200;79200;100
10;2011-07-25;5760;63360;9,09
10;2011-07-26;63360;63360;100
10;2011-07-27;10080;110880;9,09
10;2011-07-28;95040;95040;100
10;2011-07-29;7200;79200;9,09
10;2011-07-30;47520;47520;100
10;2011-07-31;51840;47520;109,09
10;2011-08-01;86400;95040;90,91
10;2011-08-02;100800;79200;127,27
10;2011-08-03;46080;63360;72,73
10;2011-08-04;230400;158400;145,45
10;2011-08-05;25920;47520;54,55
10;2011-08-06;129600;79200;163,64
10;2011-08-07;23040;63360;36,36
10;2011-08-08;86400;47520;181,82
10;2011-08-09;14400;79200;18,18
10;2011-08-10;158400;79200;200
10;2011-08-11;43200;47520;90,91
10;2011-08-12;138240;63360;218,18
10;2011-08-13;34560;47520;72,73
10;2011-08-15;34560;63360;54,55
10;2011-08-16;282240;110880;254,55
10;2011-08-17;17280;47520;36,36
10;2011-08-18;129600;47520;272,73
10;2011-08-19;14400;79200;18,18
10;2011-08-20;69120;63360;109,09
10;2011-08-21;0;47520;0
10;2011-08-22;120960;95040;127,27
10;2011-08-23;47520;47520;100
10;2011-08-24;161280;110880;145,45
10;2011-08-25;47520;47520;100
10;2011-08-26;129600;79200;163,64
10;2011-08-27;47520;47520;100
10;2011-08-28;86400;47520;181,82
10;2011-08-29;79200;79200;100
10;2011-08-30;86400;79200;109,09
10;2011-08-31;72000;79200;90,91
10;2011-09-01;60480;47520;127,27
10;2011-09-02;34560;47520;72,73
10;2011-09-03;230400;158400;145,45
10;2011-09-04;34560;63360;54,55
10;2011-09-05;77760;47520;163,64
10;2011-09-06;17280;47520;36,36
10;2011-09-07;172800;95040;181,82
10;2011-09-08;20160;110880;18,18
10;2011-09-09;158400;79200;200
10;2011-09-10;86400;95040;90,91
10;2011-09-11;241920;110880;218,18
10;2011-09-12;34560;47520;72,73
10;2011-09-13;149760;63360;236,36
10;2011-09-14;34560;63360;54,55
10;2011-09-15;241920;95040;254,55
10;2011-09-16;17280;47520;36,36
10;2011-09-17;172800;63360;272,73
10;2011-09-18;17280;95040;18,18
10;2011-09-19;184320;63360;290,91
10;2011-09-20;5760;63360;9,09
10;2011-09-21;79200;79200;100
10;2011-09-22;4320;47520;9,09
10;2011-09-23;47520;47520;100
10;2011-09-24;10080;110880;9,09
10;2011-09-25;79200;79200;100
10;2011-09-27;47520;47520;100
10;2011-09-28;4320;47520;9,09
10;2011-09-29;79200;79200;100
10;2011-09-30;86400;79200;109,09
10;2011-10-01;86400;95040;90,91
10;2011-10-02;120960;95040;127,27
10;2011-10-03;34560;47520;72,73
10;2011-10-04;230400;158400;145,45
10;2011-10-05;25920;47520;54,55
10;2011-10-06;129600;79200;163,64
10;2011-10-07;34560;95040;36,36
10;2011-10-08;172800;95040;181,82
10;2011-10-09;14400;79200;18,18
10;2011-10-10;158400;79200;200
10;2011-10-11;43200;47520;90,91
10;2011-10-12;103680;47520;218,18
10;2011-10-13;80640;110880;72,73
10;2011-10-14;112320;47520;236,36
10;2011-10-15;43200;79200;54,55
10;2011-10-16;201600;79200;254,55
10;2011-10-17;34560;95040;36,36
10;2011-10-18;259200;95040;272,73
10;2011-10-19;11520;63360;18,18
10;2011-10-20;86400;79200;109,09
10;2011-10-21;0;63360;0
10;2011-10-22;100800;79200;127,27
10;2011-10-23;110880;110880;100
10;2011-10-24;92160;63360;145,45
10;2011-10-25;79200;79200;100
10;2011-10-26;129600;79200;163,64
10;2011-10-27;63360;63360;100
10;2011-10-28;144000;79200;181,82
10;2011-10-29;79200;79200;100
10;2011-10-30;86400;79200;109,09
10;2011-10-31;100800;110880;90,91
