752;Road-150 Red, 52;2011-05-31 00:00:00.000;2171,2942;458;2171,29
751;Road-150 Red, 48;2011-05-31 00:00:00.000;2171,2942;493;2171,29
749;Road-150 Red, 62;2011-05-31 00:00:00.000;2171,2942;600;2171,29
753;Road-150 Red, 56;2011-05-31 00:00:00.000;2171,2942;664;2171,29
750;Road-150 Red, 44;2011-05-31 00:00:00.000;2171,2942;437;2171,29
774;Mountain-100 Silver, 48;2011-05-31 00:00:00.000;1912,1544;505;1912,15
772;Mountain-100 Silver, 42;2011-05-31 00:00:00.000;1912,1544;593;1912,15
771;Mountain-100 Silver, 38;2011-05-31 00:00:00.000;1912,1544;642;1912,15
773;Mountain-100 Silver, 44;2011-05-31 00:00:00.000;1912,1544;601;1912,15
778;Mountain-100 Black, 48;2011-05-31 00:00:00.000;1898,0944;616;1898,09
775;Mountain-100 Black, 38;2011-05-31 00:00:00.000;1898,0944;682;1898,09
777;Mountain-100 Black, 44;2011-05-31 00:00:00.000;1898,0944;678;1898,09
776;Mountain-100 Black, 42;2011-05-31 00:00:00.000;1898,0944;634;1898,09
793;Road-250 Black, 44;2013-05-30 00:00:00.000;1554,9479;1642;1554,95
795;Road-250 Black, 52;2013-05-30 00:00:00.000;1554,9479;1245;1554,95
796;Road-250 Black, 58;2013-05-30 00:00:00.000;1554,9479;910;1554,95
794;Road-250 Black, 48;2013-05-30 00:00:00.000;1554,9479;1498;1554,95
792;Road-250 Red, 58;2013-05-30 00:00:00.000;1554,9479;946;1554,95
791;Road-250 Red, 52;2012-05-30 00:00:00.000;1518,7864;639;1518,79
789;Road-250 Red, 44;2012-05-30 00:00:00.000;1518,7864;895;1518,79
790;Road-250 Red, 48;2012-05-30 00:00:00.000;1518,7864;812;1518,79
967;Touring-1000 Blue, 50;2013-05-30 00:00:00.000;1481,9379;649;1481,94
969;Touring-1000 Blue, 60;2013-05-30 00:00:00.000;1481,9379;1120;1481,94
955;Touring-1000 Yellow, 50;2013-05-30 00:00:00.000;1481,9379;652;1481,94
957;Touring-1000 Yellow, 60;2013-05-30 00:00:00.000;1481,9379;1114;1481,94
966;Touring-1000 Blue, 46;2013-05-30 00:00:00.000;1481,9379;1002;1481,94
954;Touring-1000 Yellow, 46;2013-05-30 00:00:00.000;1481,9379;1005;1481,94
956;Touring-1000 Yellow, 54;2013-05-30 00:00:00.000;1481,9379;397;1481,94
968;Touring-1000 Blue, 54;2013-05-30 00:00:00.000;1481,9379;413;1481,94
796;Road-250 Black, 58;2012-05-30 00:00:00.000;1320,6838;910;1320,68
795;Road-250 Black, 52;2012-05-30 00:00:00.000;1320,6838;1245;1320,68
793;Road-250 Black, 44;2012-05-30 00:00:00.000;1320,6838;1642;1320,68
794;Road-250 Black, 48;2012-05-30 00:00:00.000;1320,6838;1498;1320,68
792;Road-250 Red, 58;2012-05-30 00:00:00.000;1320,6838;946;1320,68
779;Mountain-200 Silver, 38;2013-05-30 00:00:00.000;1265,6195;2394;1265,62
781;Mountain-200 Silver, 46;2013-05-30 00:00:00.000;1265,6195;2216;1265,62
780;Mountain-200 Silver, 42;2013-05-30 00:00:00.000;1265,6195;2234;1265,62
782;Mountain-200 Black, 38;2013-05-30 00:00:00.000;1251,9813;2977;1251,98
783;Mountain-200 Black, 42;2013-05-30 00:00:00.000;1251,9813;2664;1251,98
784;Mountain-200 Black, 46;2013-05-30 00:00:00.000;1251,9813;2111;1251,98
780;Mountain-200 Silver, 42;2012-05-30 00:00:00.000;1117,8559;2234;1117,86
779;Mountain-200 Silver, 38;2012-05-30 00:00:00.000;1117,8559;2394;1117,86
781;Mountain-200 Silver, 46;2012-05-30 00:00:00.000;1117,8559;2216;1117,86
784;Mountain-200 Black, 46;2012-05-30 00:00:00.000;1105,81;2111;1105,81
782;Mountain-200 Black, 38;2012-05-30 00:00:00.000;1105,81;2977;1105,81
783;Mountain-200 Black, 42;2012-05-30 00:00:00.000;1105,81;2664;1105,81
974;Road-350-W Yellow, 42;2013-05-30 00:00:00.000;1082,51;944;1082,51
976;Road-350-W Yellow, 48;2013-05-30 00:00:00.000;1082,51;1622;1082,51
975;Road-350-W Yellow, 44;2013-05-30 00:00:00.000;1082,51;536;1082,51
973;Road-350-W Yellow, 40;2013-05-30 00:00:00.000;1082,51;1477;1082,51
757;Road-450 Red, 48;2011-05-31 00:00:00.000;884,7083;156;884,71
754;Road-450 Red, 58;2011-05-31 00:00:00.000;884,7083;582;884,71
756;Road-450 Red, 44;2011-05-31 00:00:00.000;884,7083;346;884,71
758;Road-450 Red, 52;2011-05-31 00:00:00.000;884,7083;710;884,71
755;Road-450 Red, 60;2011-05-31 00:00:00.000;884,7083;350;884,71
717;HL Road Frame - Red, 62;2013-05-30 00:00:00.000;868,6342;930;868,63
838;HL Road Frame - Black, 44;2013-05-30 00:00:00.000;868,6342;1410;868,63
720;HL Road Frame - Red, 52;2013-05-30 00:00:00.000;868,6342;1097;868,63
718;HL Road Frame - Red, 44;2013-05-30 00:00:00.000;868,6342;1299;868,63
839;HL Road Frame - Black, 48;2013-05-30 00:00:00.000;868,6342;1307;868,63
721;HL Road Frame - Red, 56;2013-05-30 00:00:00.000;868,6342;664;868,63
840;HL Road Frame - Black, 52;2013-05-30 00:00:00.000;868,6342;1245;868,63
719;HL Road Frame - Red, 48;2013-05-30 00:00:00.000;868,6342;1366;868,63
970;Touring-2000 Blue, 46;2013-05-30 00:00:00.000;755,1508;538;755,15
972;Touring-2000 Blue, 54;2013-05-30 00:00:00.000;755,1508;1010;755,15
953;Touring-2000 Blue, 60;2013-05-30 00:00:00.000;755,1508;820;755,15
971;Touring-2000 Blue, 50;2013-05-30 00:00:00.000;755,1508;322;755,15
719;HL Road Frame - Red, 48;2011-05-31 00:00:00.000;747,9682;1366;747,97
717;HL Road Frame - Red, 62;2011-05-31 00:00:00.000;747,9682;930;747,97
720;HL Road Frame - Red, 52;2011-05-31 00:00:00.000;747,9682;1097;747,97
718;HL Road Frame - Red, 44;2011-05-31 00:00:00.000;747,9682;1299;747,97
721;HL Road Frame - Red, 56;2011-05-31 00:00:00.000;747,9682;664;747,97
742;HL Mountain Frame - Silver, 46;2013-05-30 00:00:00.000;747,2002;2062;747,20
748;HL Mountain Frame - Silver, 38;2013-05-30 00:00:00.000;747,2002;2236;747,20
739;HL Mountain Frame - Silver, 42;2013-05-30 00:00:00.000;747,2002;1748;747,20
743;HL Mountain Frame - Black, 42;2013-05-30 00:00:00.000;739,041;2128;739,04
746;HL Mountain Frame - Black, 46;2013-05-30 00:00:00.000;739,041;2111;739,04
747;HL Mountain Frame - Black, 38;2013-05-30 00:00:00.000;739,041;2864;739,04
720;HL Road Frame - Red, 52;2012-05-30 00:00:00.000;722,2568;1097;722,26
719;HL Road Frame - Red, 48;2012-05-30 00:00:00.000;722,2568;1366;722,26
